timestamp,light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door
05-06-24 06:54,0,0,0,0,0,0,0,288,325,0,3,1
05-06-24 06:55,0,0,0,0,0,0,0,288,325,0,3,1
05-06-24 06:56,0,0,0,0,0,0,0,298,325,0,3,1
05-06-24 06:57,0,0,0,0,0,0,0,298,325,0,3,1
05-06-24 06:58,0,0,0,0,0,0,0,298,325,0,3,1
05-06-24 06:59,0,0,0,0,0,0,0,298,325,0,3,1
05-06-24 07:00,0,0,0,0,0,0,0,298,325,0,3,1
05-06-24 07:01,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:02,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:03,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:04,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:05,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:06,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:07,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:08,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:08,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:09,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:10,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:11,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:12,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:13,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:14,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:15,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:16,1,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:17,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:18,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:19,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:20,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:21,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:22,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:23,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:24,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:25,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:26,0,0,0,0,0,0,0,298,328,0,3,1
05-06-24 07:26,0,0,0,0,0,0,0,298,328,0,3,1
