light_Shower,light_FR,light_FL,plug_AC,plug_Recirculation fan,plug_Floor lamp,plug_Artificial fan,temp_Bedroom temp,temp_Outdoor temp,motion_Motion living room,light_environment,door_Door,weekday
0,0,0,0,0,0,0,0.530172414,0.439655172,0,0,0,0
0,0,0,0,0,0,0,0.530172414,0.439655172,0,0,0,0
0,0,0,0,0,0,0,0.530172414,0.439655172,0,0,0,0
0,0,0,0,0,0,0,0.530172414,0.439655172,0,0,0,0
0,0,0,0,0,0,0,0.530172414,0.439655172,0,0,0,0
0,0,0,0,0,0,0,0.530172414,0.439655172,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.443965517,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.443965517,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.431034483,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.431034483,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.431034483,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.431034483,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.413793103,0,0,0,0
0,0,0,0,0,0,0,0.487068966,0.413793103,0,0,0,0
0,1,1,1,0,0,1,0.487068966,0.413793103,0,0,0,0
0,1,1,1,0,0,0,0.422413793,0.413793103,0,0,0,0
0,1,1,1,0,0,1,0.353448276,0.413793103,1,0,0,0
0,1,1,1,0,0,1,0.353448276,0.413793103,0,0,0,0
0,1,1,1,0,0,0,0.353448276,0.418103448,0,0,0,0
0,1,1,1,0,0,1,0.293103448,0.418103448,0,0,0,0
0,1,1,1,0,0,0,0.293103448,0.418103448,0,0,0,0
0,1,1,1,0,0,0,0.293103448,0.418103448,0,0,0,0
0,1,1,1,0,0,0,0.293103448,0.418103448,0,0,0,0
0,1,1,1,0,0,1,0.293103448,0.396551724,0,0,0,0
0,1,1,1,0,0,1,0.24137931,0.396551724,0,0,0,0
0,1,1,1,0,1,1,0.24137931,0.396551724,0,0,0,0
0,1,1,1,0,1,1,0.24137931,0.396551724,0,0,0,0
0,1,1,1,0,1,0,0.24137931,0.396551724,0,0,0,0
0,1,1,1,0,1,0,0.24137931,0.396551724,0,0,0,0
0,1,1,1,0,1,0,0.24137931,0.387931034,0,0,0,0
0,1,1,1,0,1,0,0.24137931,0.387931034,0,0,0,0
0,1,1,1,0,1,0,0.24137931,0.387931034,0,0,0,0
0,1,1,1,0,1,0,0.24137931,0.387931034,0,0,0,0
0,1,1,1,0,1,0,0.24137931,0.387931034,0,0,0,0
0,1,1,1,0,1,1,0.24137931,0.387931034,1,0,1,0
0,1,1,1,0,1,1,0.24137931,0.38362069,0,0,0,0
0,1,1,1,0,1,0,0.193965517,0.38362069,0,0,0,0
0,0,0,1,0,0,0,0.107758621,0.375,1,0,0,0
0,0,0,1,0,0,0,0.107758621,0.375,0,0,0,0
0,0,0,1,0,0,0,0.107758621,0.375,0,0,0,0
0,0,0,1,0,0,0,0.107758621,0.379310345,0,0,0,0
1,0,0,1,0,0,0,0.155172414,0.379310345,1,0,0,0
0,0,0,1,0,0,0,0.155172414,0.396551724,0,0,0,0
0,0,0,1,0,0,0,0.155172414,0.396551724,0,0,0,0
0,0,0,1,0,0,0,0.198275862,0.405172414,0,0,0,0
0,1,1,0,0,0,0,0.547413793,0.762931034,0,0,0,0
0,1,1,0,0,0,0,0.547413793,0.762931034,0,0,0,0
0,1,1,0,0,0,0,0.547413793,0.775862069,0,0,0,0
0,1,1,0,0,0,0,0.547413793,0.793103448,0,0,0,0
0,1,1,0,0,0,0,0.547413793,0.806034483,0,0,0,0
0,1,1,0,0,0,0,0.547413793,0.754310345,0,0,0,0
0,1,1,0,0,0,0,0.547413793,0.724137931,0,0,0,0
0,1,1,0,1,0,0,0.547413793,0.724137931,0,0,0,0
0,1,1,0,1,0,0,0.547413793,0.793103448,0,0,0,0
